"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-03 13:24:06,0.0429,0,0.747,0
2025-03-03 13:24:08,0.0429,0,0.747,0
2025-03-03 13:24:10,0.0429,0,0.747,0
2025-03-03 13:24:12,0.0429,0,0.747,0
2025-03-03 13:24:14,0.0429,0,0.747,0
2025-03-03 13:24:16,0.0429,0,0.747,0
2025-03-03 13:24:18,0.0429,0,0.747,0
2025-03-03 13:24:20,0.0429,0,0.747,0
2025-03-03 13:24:22,0.0429,0,0.747,0
2025-03-03 13:24:24,0.0429,0,0.747,0
2025-03-03 13:24:26,0.0429,0,0.747,0
2025-03-03 13:24:28,0.0429,0,0.747,0
2025-03-03 13:24:30,0.0429,0,0.747,0
2025-03-03 13:24:32,0.0429,0,0.747,0
2025-03-03 13:24:34,0.0429,0,0.747,0
2025-03-03 13:24:36,0.768,0,6.31,0
2025-03-03 13:24:38,0.768,0,6.31,0
2025-03-03 13:24:40,0.768,0,6.31,0
2025-03-03 13:24:42,0.768,0,6.31,0
2025-03-03 13:24:44,0.768,0,6.31,0
2025-03-03 13:24:46,0.768,0,6.31,0
2025-03-03 13:24:48,0.768,0,6.31,0
2025-03-03 13:24:50,0.768,0,6.31,0
2025-03-03 13:24:52,0.768,0,6.31,0
2025-03-03 13:24:54,0.768,0,6.31,0
2025-03-03 13:24:56,0.768,0,6.31,0
2025-03-03 13:24:58,0.768,0,6.31,0
2025-03-03 13:25:00,0.768,0,6.31,0
2025-03-03 13:25:02,0.768,0,6.31,0
2025-03-03 13:25:04,0.768,0,6.31,0
2025-03-03 13:25:06,0.833,0,5.50,0
2025-03-03 13:25:08,0.833,0,5.50,0
2025-03-03 13:25:10,0.833,0,5.50,0
2025-03-03 13:25:12,0.833,0,5.50,0
2025-03-03 13:25:14,0.833,0,5.50,0
2025-03-03 13:25:16,0.833,0,5.50,0
2025-03-03 13:25:18,0.833,0,5.50,0
2025-03-03 13:25:20,0.833,0,5.50,0
2025-03-03 13:25:22,0.833,0,5.50,0
2025-03-03 13:25:24,0.833,0,5.50,0
2025-03-03 13:25:26,0.833,0,5.50,0
2025-03-03 13:25:28,0.833,0,5.50,0
2025-03-03 13:25:30,0.833,0,5.50,0
2025-03-03 13:25:32,0.833,0,5.50,0
2025-03-03 13:25:34,0.833,0,5.50,0
