"Time","control-project-56b89bcb95-xhkpw / app-namespace / PKG","control-project-56b89bcb95-xhkpw / app-namespace / DRAM","control-project-56b89bcb95-xhkpw / app-namespace / OTHER","control-project-56b89bcb95-xhkpw / app-namespace / GPU"
2025-03-01 16:51:24,0.0509,0,0.896,0
2025-03-01 16:51:25,0.0456,0,0.890,0
2025-03-01 16:51:26,0.0456,0,0.890,0
2025-03-01 16:51:27,0.0456,0,0.890,0
2025-03-01 16:51:28,0.0456,0,0.890,0
2025-03-01 16:51:29,0.0456,0,0.890,0
2025-03-01 16:51:30,0.0456,0,0.890,0
2025-03-01 16:51:31,0.0456,0,0.890,0
2025-03-01 16:51:32,0.0456,0,0.890,0
2025-03-01 16:51:33,0.0456,0,0.890,0
2025-03-01 16:51:34,0.0456,0,0.890,0
2025-03-01 16:51:35,0.0456,0,0.890,0
2025-03-01 16:51:36,0.0456,0,0.890,0
2025-03-01 16:51:37,0.0456,0,0.890,0
2025-03-01 16:51:38,0.0456,0,0.890,0
2025-03-01 16:51:39,0.0456,0,0.890,0
2025-03-01 16:51:40,0.0456,0,0.890,0
2025-03-01 16:51:41,0.0456,0,0.890,0
2025-03-01 16:51:42,0.0456,0,0.890,0
2025-03-01 16:51:43,0.0456,0,0.890,0
2025-03-01 16:51:44,0.0456,0,0.890,0
2025-03-01 16:51:45,0.0456,0,0.890,0
2025-03-01 16:51:46,0.0456,0,0.890,0
2025-03-01 16:51:47,0.0456,0,0.890,0
2025-03-01 16:51:48,0.0456,0,0.890,0
2025-03-01 16:51:49,0.0456,0,0.890,0
2025-03-01 16:51:50,0.0456,0,0.890,0
2025-03-01 16:51:51,0.0456,0,0.890,0
2025-03-01 16:51:52,0.0456,0,0.890,0
2025-03-01 16:51:53,0.0456,0,0.890,0
2025-03-01 16:51:54,0.0456,0,0.890,0
2025-03-01 16:51:55,0.836,0,5.42,0
2025-03-01 16:51:56,0.836,0,5.42,0
2025-03-01 16:51:57,0.836,0,5.42,0
2025-03-01 16:51:58,0.836,0,5.42,0
2025-03-01 16:51:59,0.836,0,5.42,0
2025-03-01 16:52:00,0.836,0,5.42,0
2025-03-01 16:52:01,0.836,0,5.42,0
2025-03-01 16:52:02,0.836,0,5.42,0
2025-03-01 16:52:03,0.836,0,5.42,0
2025-03-01 16:52:04,0.836,0,5.42,0
2025-03-01 16:52:05,0.836,0,5.42,0
2025-03-01 16:52:06,0.836,0,5.42,0
2025-03-01 16:52:07,0.836,0,5.42,0
2025-03-01 16:52:08,0.836,0,5.42,0
2025-03-01 16:52:09,0.836,0,5.42,0
2025-03-01 16:52:10,0.836,0,5.42,0
2025-03-01 16:52:11,0.836,0,5.42,0
2025-03-01 16:52:12,0.836,0,5.42,0
2025-03-01 16:52:13,0.836,0,5.42,0
2025-03-01 16:52:14,0.836,0,5.42,0
2025-03-01 16:52:15,0.836,0,5.42,0
2025-03-01 16:52:16,0.836,0,5.42,0
2025-03-01 16:52:17,0.836,0,5.42,0
2025-03-01 16:52:18,0.836,0,5.42,0
2025-03-01 16:52:19,0.836,0,5.42,0
2025-03-01 16:52:20,0.836,0,5.42,0
2025-03-01 16:52:21,0.836,0,5.42,0
2025-03-01 16:52:22,0.836,0,5.42,0
2025-03-01 16:52:23,0.836,0,5.42,0
2025-03-01 16:52:24,0.836,0,5.42,0
2025-03-01 16:52:25,1.00,0,4.49,0
2025-03-01 16:52:26,1.00,0,4.49,0
2025-03-01 16:52:27,1.00,0,4.49,0
2025-03-01 16:52:28,1.00,0,4.49,0
2025-03-01 16:52:29,1.00,0,4.49,0
2025-03-01 16:52:30,1.00,0,4.49,0
2025-03-01 16:52:31,1.00,0,4.49,0
2025-03-01 16:52:32,1.00,0,4.49,0
2025-03-01 16:52:33,1.00,0,4.49,0
2025-03-01 16:52:34,1.00,0,4.49,0
2025-03-01 16:52:35,1.00,0,4.49,0
2025-03-01 16:52:36,1.00,0,4.49,0
2025-03-01 16:52:37,1.00,0,4.49,0
2025-03-01 16:52:38,1.00,0,4.49,0
2025-03-01 16:52:39,1.00,0,4.49,0
2025-03-01 16:52:40,1.00,0,4.49,0
2025-03-01 16:52:41,1.00,0,4.49,0
2025-03-01 16:52:42,1.00,0,4.49,0
2025-03-01 16:52:43,1.00,0,4.49,0
2025-03-01 16:52:44,1.00,0,4.49,0
2025-03-01 16:52:45,1.00,0,4.49,0
2025-03-01 16:52:46,1.00,0,4.49,0
2025-03-01 16:52:47,1.00,0,4.49,0
2025-03-01 16:52:48,1.00,0,4.49,0
2025-03-01 16:52:49,1.00,0,4.49,0
2025-03-01 16:52:50,1.00,0,4.49,0
2025-03-01 16:52:51,1.00,0,4.49,0
2025-03-01 16:52:52,1.00,0,4.49,0
2025-03-01 16:52:53,1.00,0,4.49,0
2025-03-01 16:52:54,1.00,0,4.49,0
2025-03-01 16:52:55,1.14,0,3.84,0
2025-03-01 16:52:56,1.14,0,3.84,0
2025-03-01 16:52:57,1.14,0,3.84,0
2025-03-01 16:52:58,1.14,0,3.84,0
2025-03-01 16:52:59,1.14,0,3.84,0
2025-03-01 16:53:00,1.14,0,3.84,0
2025-03-01 16:53:01,1.14,0,3.84,0
2025-03-01 16:53:02,1.14,0,3.84,0
2025-03-01 16:53:03,1.14,0,3.84,0
2025-03-01 16:53:04,1.14,0,3.84,0
2025-03-01 16:53:05,1.14,0,3.84,0
2025-03-01 16:53:06,1.14,0,3.84,0
2025-03-01 16:53:07,1.14,0,3.84,0
2025-03-01 16:53:08,1.14,0,3.84,0
2025-03-01 16:53:09,1.14,0,3.84,0
2025-03-01 16:53:10,1.14,0,3.84,0
2025-03-01 16:53:11,1.14,0,3.84,0
2025-03-01 16:53:12,1.14,0,3.84,0
2025-03-01 16:53:13,1.14,0,3.84,0
2025-03-01 16:53:14,1.14,0,3.84,0
2025-03-01 16:53:15,1.14,0,3.84,0
2025-03-01 16:53:16,1.14,0,3.84,0
2025-03-01 16:53:17,1.14,0,3.84,0
2025-03-01 16:53:18,1.14,0,3.84,0
2025-03-01 16:53:19,1.14,0,3.84,0
