"Time","control-project-799bdb68d7-s958z / app-namespace / PKG","control-project-799bdb68d7-s958z / app-namespace / DRAM","control-project-799bdb68d7-s958z / app-namespace / OTHER","control-project-799bdb68d7-s958z / app-namespace / GPU"
2025-02-26 11:03:07.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:08.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:09.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:10.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:11.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:12.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:13.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:14.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:15.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:16.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:17.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:18.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:19.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:20.000,0.000200,0.000100,0.000300,0
2025-02-26 11:03:21.000,0,0,0,0
2025-02-26 11:03:22.000,0,0,0,0
2025-02-26 11:03:23.000,0,0,0,0
2025-02-26 11:03:24.000,0,0,0,0
2025-02-26 11:03:25.000,0,0,0,0
2025-02-26 11:03:26.000,0,0,0,0
2025-02-26 11:03:27.000,0,0,0,0
2025-02-26 11:03:28.000,0,0,0,0
2025-02-26 11:03:29.000,0,0,0,0
2025-02-26 11:03:30.000,0,0,0,0
2025-02-26 11:03:31.000,0,0,0,0
2025-02-26 11:03:32.000,0,0,0,0
2025-02-26 11:03:33.000,0,0,0,0
2025-02-26 11:03:34.000,0,0,0,0
2025-02-26 11:03:35.000,0,0,0,0
