"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-03 11:46:04,0.842,0,4.83,0
2025-03-03 11:46:06,0.842,0,4.83,0
2025-03-03 11:46:08,0.842,0,4.83,0
2025-03-03 11:46:10,0.843,0,4.86,0
2025-03-03 11:46:12,0.843,0,4.86,0
2025-03-03 11:46:14,0.843,0,4.86,0
2025-03-03 11:46:16,0.843,0,4.86,0
2025-03-03 11:46:18,0.843,0,4.86,0
2025-03-03 11:46:20,0.843,0,4.86,0
2025-03-03 11:46:22,0.843,0,4.86,0
2025-03-03 11:46:24,0.843,0,4.86,0
2025-03-03 11:46:26,0.843,0,4.86,0
2025-03-03 11:46:28,0.843,0,4.86,0
2025-03-03 11:46:30,0.843,0,4.86,0
2025-03-03 11:46:32,0.843,0,4.86,0
2025-03-03 11:46:34,0.843,0,4.86,0
2025-03-03 11:46:36,0.843,0,4.86,0
2025-03-03 11:46:38,0.843,0,4.86,0
2025-03-03 11:46:40,0.853,0,4.73,0
2025-03-03 11:46:42,0.853,0,4.73,0
2025-03-03 11:46:44,0.853,0,4.73,0
2025-03-03 11:46:46,0.853,0,4.73,0
2025-03-03 11:46:48,0.853,0,4.73,0
2025-03-03 11:46:50,0.853,0,4.73,0
2025-03-03 11:46:52,0.853,0,4.73,0
2025-03-03 11:46:54,0.853,0,4.73,0
2025-03-03 11:46:56,0.853,0,4.73,0
2025-03-03 11:46:58,0.853,0,4.73,0
2025-03-03 11:47:00,0.853,0,4.73,0
2025-03-03 11:47:02,0.853,0,4.73,0
2025-03-03 11:47:04,0.853,0,4.73,0
2025-03-03 11:47:06,0.853,0,4.73,0
2025-03-03 11:47:08,0.853,0,4.73,0
2025-03-03 11:47:10,0.850,0,4.91,0
2025-03-03 11:47:12,0.850,0,4.91,0
2025-03-03 11:47:14,0.850,0,4.91,0
2025-03-03 11:47:16,0.850,0,4.91,0
2025-03-03 11:47:18,0.850,0,4.91,0
2025-03-03 11:47:20,0.850,0,4.91,0
2025-03-03 11:47:22,0.850,0,4.91,0
2025-03-03 11:47:24,0.850,0,4.91,0
2025-03-03 11:47:26,0.850,0,4.91,0
2025-03-03 11:47:28,0.850,0,4.91,0
2025-03-03 11:47:30,0.850,0,4.91,0
2025-03-03 11:47:32,0.850,0,4.91,0
2025-03-03 11:47:34,0.850,0,4.91,0
2025-03-03 11:47:36,0.850,0,4.91,0
2025-03-03 11:47:38,0.850,0,4.91,0
2025-03-03 11:47:40,0.874,0,4.72,0
2025-03-03 11:47:42,0.874,0,4.72,0
2025-03-03 11:47:44,0.874,0,4.72,0
2025-03-03 11:47:46,0.874,0,4.72,0
2025-03-03 11:47:48,0.874,0,4.72,0
2025-03-03 11:47:50,0.874,0,4.72,0
2025-03-03 11:47:52,0.874,0,4.72,0
2025-03-03 11:47:54,0.874,0,4.72,0
2025-03-03 11:47:56,0.874,0,4.72,0
2025-03-03 11:47:58,0.874,0,4.72,0
2025-03-03 11:48:00,0.874,0,4.72,0
2025-03-03 11:48:02,0.874,0,4.72,0
2025-03-03 11:48:04,0.874,0,4.72,0
2025-03-03 11:48:06,0.874,0,4.72,0
2025-03-03 11:48:08,0.874,0,4.72,0
2025-03-03 11:48:10,0.850,0,4.95,0
2025-03-03 11:48:12,0.850,0,4.95,0
2025-03-03 11:48:14,0.850,0,4.95,0
2025-03-03 11:48:16,0.850,0,4.95,0
2025-03-03 11:48:18,0.850,0,4.95,0
2025-03-03 11:48:20,0.850,0,4.95,0
2025-03-03 11:48:22,0.850,0,4.95,0
2025-03-03 11:48:24,0.850,0,4.95,0
2025-03-03 11:48:26,0.850,0,4.95,0
2025-03-03 11:48:28,0.850,0,4.95,0
2025-03-03 11:48:30,0.850,0,4.95,0
2025-03-03 11:48:32,0.850,0,4.95,0
2025-03-03 11:48:34,0.850,0,4.95,0
2025-03-03 11:48:36,0.850,0,4.95,0
2025-03-03 11:48:38,0.850,0,4.95,0
2025-03-03 11:48:40,0.860,0,4.78,0
2025-03-03 11:48:42,0.860,0,4.78,0
2025-03-03 11:48:44,0.860,0,4.78,0
2025-03-03 11:48:46,0.860,0,4.78,0
2025-03-03 11:48:48,0.860,0,4.78,0
2025-03-03 11:48:50,0.860,0,4.78,0
2025-03-03 11:48:52,0.860,0,4.78,0
2025-03-03 11:48:54,0.860,0,4.78,0
2025-03-03 11:48:56,0.860,0,4.78,0
2025-03-03 11:48:58,0.860,0,4.78,0
2025-03-03 11:49:00,0.860,0,4.78,0
2025-03-03 11:49:02,0.860,0,4.78,0
2025-03-03 11:49:04,0.860,0,4.78,0
2025-03-03 11:49:06,0.860,0,4.78,0
2025-03-03 11:49:08,0.860,0,4.78,0
2025-03-03 11:49:10,0.842,0,4.82,0
2025-03-03 11:49:12,0.842,0,4.82,0
2025-03-03 11:49:14,0.842,0,4.82,0
2025-03-03 11:49:16,0.842,0,4.82,0
2025-03-03 11:49:18,0.842,0,4.82,0
2025-03-03 11:49:20,0.842,0,4.82,0
2025-03-03 11:49:22,0.842,0,4.82,0
2025-03-03 11:49:24,0.842,0,4.82,0
2025-03-03 11:49:26,0.842,0,4.82,0
2025-03-03 11:49:28,0.842,0,4.82,0
2025-03-03 11:49:30,0.842,0,4.82,0
2025-03-03 11:49:32,0.842,0,4.82,0
2025-03-03 11:49:34,0.842,0,4.82,0
2025-03-03 11:49:36,0.842,0,4.82,0
2025-03-03 11:49:38,0.842,0,4.82,0
2025-03-03 11:49:40,0.870,0,4.88,0
2025-03-03 11:49:42,0.870,0,4.88,0
2025-03-03 11:49:44,0.870,0,4.88,0
2025-03-03 11:49:46,0.870,0,4.88,0
2025-03-03 11:49:48,0.870,0,4.88,0
2025-03-03 11:49:50,0.870,0,4.88,0
2025-03-03 11:49:52,0.870,0,4.88,0
2025-03-03 11:49:54,0.870,0,4.88,0
2025-03-03 11:49:56,0.870,0,4.88,0
2025-03-03 11:49:58,0.870,0,4.88,0
2025-03-03 11:50:00,0.870,0,4.88,0
2025-03-03 11:50:02,0.870,0,4.88,0
2025-03-03 11:50:04,0.870,0,4.88,0
2025-03-03 11:50:06,0.870,0,4.88,0
2025-03-03 11:50:08,0.870,0,4.88,0
2025-03-03 11:50:10,0.882,0,4.71,0
2025-03-03 11:50:12,0.882,0,4.71,0
2025-03-03 11:50:14,0.882,0,4.71,0
2025-03-03 11:50:16,0.882,0,4.71,0
2025-03-03 11:50:18,0.882,0,4.71,0
2025-03-03 11:50:20,0.882,0,4.71,0
2025-03-03 11:50:22,0.882,0,4.71,0
2025-03-03 11:50:24,0.882,0,4.71,0
2025-03-03 11:50:26,0.882,0,4.71,0
2025-03-03 11:50:28,0.882,0,4.71,0
2025-03-03 11:50:30,0.882,0,4.71,0
2025-03-03 11:50:32,0.882,0,4.71,0
2025-03-03 11:50:34,0.882,0,4.71,0
2025-03-03 11:50:36,0.882,0,4.71,0
2025-03-03 11:50:38,0.882,0,4.71,0
2025-03-03 11:50:40,0.854,0,4.84,0
2025-03-03 11:50:42,0.854,0,4.84,0
2025-03-03 11:50:44,0.854,0,4.84,0
2025-03-03 11:50:46,0.854,0,4.84,0
2025-03-03 11:50:48,0.854,0,4.84,0
2025-03-03 11:50:50,0.854,0,4.84,0
2025-03-03 11:50:52,0.854,0,4.84,0
2025-03-03 11:50:54,0.854,0,4.84,0
2025-03-03 11:50:56,0.854,0,4.84,0
2025-03-03 11:50:58,0.854,0,4.84,0
2025-03-03 11:51:00,0.854,0,4.84,0
2025-03-03 11:51:02,0.854,0,4.84,0
2025-03-03 11:51:04,0.854,0,4.84,0
2025-03-03 11:51:06,0.854,0,4.84,0
2025-03-03 11:51:08,0.854,0,4.84,0
2025-03-03 11:51:10,0.872,0,4.82,0
2025-03-03 11:51:12,0.872,0,4.82,0
2025-03-03 11:51:14,0.872,0,4.82,0
2025-03-03 11:51:16,0.872,0,4.82,0
2025-03-03 11:51:18,0.872,0,4.82,0
2025-03-03 11:51:20,0.872,0,4.82,0
2025-03-03 11:51:22,0.872,0,4.82,0
2025-03-03 11:51:24,0.872,0,4.82,0
2025-03-03 11:51:26,0.872,0,4.82,0
2025-03-03 11:51:28,0.872,0,4.82,0
2025-03-03 11:51:30,0.872,0,4.82,0
2025-03-03 11:51:32,0.872,0,4.82,0
2025-03-03 11:51:34,0.872,0,4.82,0
2025-03-03 11:51:36,0.872,0,4.82,0
2025-03-03 11:51:38,0.872,0,4.82,0
2025-03-03 11:51:40,0.882,0,4.84,0
2025-03-03 11:51:42,0.882,0,4.84,0
2025-03-03 11:51:44,0.882,0,4.84,0
2025-03-03 11:51:46,0.882,0,4.84,0
2025-03-03 11:51:48,0.882,0,4.84,0
2025-03-03 11:51:50,0.882,0,4.84,0
2025-03-03 11:51:52,0.882,0,4.84,0
2025-03-03 11:51:54,0.882,0,4.84,0
2025-03-03 11:51:56,0.882,0,4.84,0
2025-03-03 11:51:58,0.882,0,4.84,0
2025-03-03 11:52:00,0.882,0,4.84,0
2025-03-03 11:52:02,0.882,0,4.84,0
2025-03-03 11:52:04,0.882,0,4.84,0
2025-03-03 11:52:06,0.882,0,4.84,0
2025-03-03 11:52:08,0.882,0,4.84,0
2025-03-03 11:52:10,0.865,0,4.75,0
2025-03-03 11:52:12,0.865,0,4.75,0
2025-03-03 11:52:14,0.865,0,4.75,0
2025-03-03 11:52:16,0.865,0,4.75,0
2025-03-03 11:52:18,0.865,0,4.75,0
2025-03-03 11:52:20,0.865,0,4.75,0
2025-03-03 11:52:22,0.865,0,4.75,0
2025-03-03 11:52:24,0.865,0,4.75,0
2025-03-03 11:52:26,0.865,0,4.75,0
2025-03-03 11:52:28,0.865,0,4.75,0
2025-03-03 11:52:30,0.865,0,4.75,0
2025-03-03 11:52:32,0.865,0,4.75,0
2025-03-03 11:52:34,0.865,0,4.75,0
2025-03-03 11:52:36,0.865,0,4.75,0
2025-03-03 11:52:38,0.865,0,4.75,0
2025-03-03 11:52:40,0.860,0,4.86,0
2025-03-03 11:52:42,0.860,0,4.86,0
2025-03-03 11:52:44,0.860,0,4.86,0
2025-03-03 11:52:46,0.860,0,4.86,0
2025-03-03 11:52:48,0.860,0,4.86,0
2025-03-03 11:52:50,0.860,0,4.86,0
2025-03-03 11:52:52,0.860,0,4.86,0
2025-03-03 11:52:54,0.860,0,4.86,0
2025-03-03 11:52:56,0.860,0,4.86,0
2025-03-03 11:52:58,0.860,0,4.86,0
2025-03-03 11:53:00,0.860,0,4.86,0
2025-03-03 11:53:02,0.860,0,4.86,0
2025-03-03 11:53:04,0.860,0,4.86,0
2025-03-03 11:53:06,0.860,0,4.86,0
2025-03-03 11:53:08,0.860,0,4.86,0
2025-03-03 11:53:10,0.874,0,4.79,0
2025-03-03 11:53:12,0.874,0,4.79,0
2025-03-03 11:53:14,0.874,0,4.79,0
2025-03-03 11:53:16,0.874,0,4.79,0
2025-03-03 11:53:18,0.874,0,4.79,0
2025-03-03 11:53:20,0.874,0,4.79,0
2025-03-03 11:53:22,0.874,0,4.79,0
2025-03-03 11:53:24,0.874,0,4.79,0
2025-03-03 11:53:26,0.874,0,4.79,0
2025-03-03 11:53:28,0.874,0,4.79,0
2025-03-03 11:53:30,0.874,0,4.79,0
2025-03-03 11:53:32,0.874,0,4.79,0
2025-03-03 11:53:34,0.874,0,4.79,0
2025-03-03 11:53:36,0.874,0,4.79,0
2025-03-03 11:53:38,0.874,0,4.79,0
2025-03-03 11:53:40,0.847,0,4.86,0
2025-03-03 11:53:42,0.847,0,4.86,0
2025-03-03 11:53:44,0.847,0,4.86,0
2025-03-03 11:53:46,0.847,0,4.86,0
2025-03-03 11:53:48,0.847,0,4.86,0
2025-03-03 11:53:50,0.847,0,4.86,0
2025-03-03 11:53:52,0.847,0,4.86,0
2025-03-03 11:53:54,0.847,0,4.86,0
2025-03-03 11:53:56,0.847,0,4.86,0
2025-03-03 11:53:58,0.847,0,4.86,0
2025-03-03 11:54:00,0.847,0,4.86,0
2025-03-03 11:54:02,0.847,0,4.86,0
2025-03-03 11:54:04,0.847,0,4.86,0
2025-03-03 11:54:06,0.847,0,4.86,0
2025-03-03 11:54:08,0.847,0,4.86,0
2025-03-03 11:54:10,0.878,0,4.77,0
2025-03-03 11:54:12,0.878,0,4.77,0
2025-03-03 11:54:14,0.878,0,4.77,0
2025-03-03 11:54:16,0.878,0,4.77,0
2025-03-03 11:54:18,0.878,0,4.77,0
2025-03-03 11:54:20,0.878,0,4.77,0
2025-03-03 11:54:22,0.878,0,4.77,0
2025-03-03 11:54:24,0.878,0,4.77,0
2025-03-03 11:54:26,0.878,0,4.77,0
2025-03-03 11:54:28,0.878,0,4.77,0
2025-03-03 11:54:30,0.878,0,4.77,0
2025-03-03 11:54:32,0.878,0,4.77,0
2025-03-03 11:54:34,0.878,0,4.77,0
2025-03-03 11:54:36,0.878,0,4.77,0
2025-03-03 11:54:38,0.878,0,4.77,0
