Time,TOTAL
2025-05-13 15:14:23,3.4689000000000307
2025-05-13 15:14:24,3.4689000000000307
2025-05-13 15:14:25,3.4689000000000307
2025-05-13 15:14:26,3.4689000000000307
2025-05-13 15:14:27,3.4689000000000307
2025-05-13 15:14:28,3.4689000000000307
2025-05-13 15:14:29,3.4689000000000307
2025-05-13 15:14:30,3.4689000000000307
2025-05-13 15:14:31,3.4689000000000307
2025-05-13 15:14:32,3.4689000000000307
2025-05-13 15:14:33,3.4689000000000307
2025-05-13 15:14:34,3.4689000000000307
2025-05-13 15:14:35,3.4689000000000307
2025-05-13 15:14:36,3.4689000000000307
2025-05-13 15:14:37,3.4689000000000307
2025-05-13 15:14:38,3.4689000000000307
2025-05-13 15:14:39,2.5943999999999807
2025-05-13 15:14:40,2.5943999999999807
2025-05-13 15:14:41,2.5943999999999807
2025-05-13 15:14:42,2.5943999999999807
2025-05-13 15:14:43,2.5943999999999807
2025-05-13 15:14:44,2.5943999999999807
2025-05-13 15:14:45,2.5943999999999807
2025-05-13 15:14:46,2.5943999999999807
2025-05-13 15:14:47,2.5943999999999807
2025-05-13 15:14:48,2.5943999999999807
2025-05-13 15:14:49,2.5943999999999807
2025-05-13 15:14:50,2.5943999999999807
2025-05-13 15:14:51,2.5943999999999807
2025-05-13 15:14:52,2.5943999999999807
