"Time","control-project-56b89bcb95-wj5t5 / app-namespace / PKG","control-project-56b89bcb95-wj5t5 / app-namespace / DRAM","control-project-56b89bcb95-wj5t5 / app-namespace / OTHER","control-project-56b89bcb95-wj5t5 / app-namespace / GPU"
2025-02-28 10:36:05,0.0965,0,1.13,0
2025-02-28 10:36:06,0.0971,0,1.18,0
2025-02-28 10:36:07,0.0971,0,1.18,0
2025-02-28 10:36:08,0.0971,0,1.18,0
2025-02-28 10:36:09,0.0971,0,1.18,0
2025-02-28 10:36:10,0.0971,0,1.18,0
2025-02-28 10:36:11,0.0971,0,1.18,0
2025-02-28 10:36:12,0.0971,0,1.18,0
2025-02-28 10:36:13,0.0971,0,1.18,0
2025-02-28 10:36:14,0.0971,0,1.18,0
2025-02-28 10:36:15,0.0971,0,1.18,0
2025-02-28 10:36:16,0.0971,0,1.18,0
2025-02-28 10:36:17,0.0971,0,1.18,0
2025-02-28 10:36:18,0.0971,0,1.18,0
2025-02-28 10:36:19,0.0971,0,1.18,0
2025-02-28 10:36:20,0.0971,0,1.18,0
2025-02-28 10:36:21,0.0971,0,1.18,0
2025-02-28 10:36:22,0.0971,0,1.18,0
2025-02-28 10:36:23,0.0971,0,1.18,0
2025-02-28 10:36:24,0.0971,0,1.18,0
2025-02-28 10:36:25,0.0971,0,1.18,0
2025-02-28 10:36:26,0.0971,0,1.18,0
2025-02-28 10:36:27,0.0971,0,1.18,0
2025-02-28 10:36:28,0.0971,0,1.18,0
2025-02-28 10:36:29,0.0971,0,1.18,0
2025-02-28 10:36:30,0.0971,0,1.18,0
2025-02-28 10:36:31,0.0971,0,1.18,0
2025-02-28 10:36:32,0.0971,0,1.18,0
2025-02-28 10:36:33,0.0971,0,1.18,0
2025-02-28 10:36:34,0.0971,0,1.18,0
2025-02-28 10:36:35,0.0971,0,1.18,0
2025-02-28 10:36:36,0.0793,0,1.18,0
2025-02-28 10:36:37,0.0793,0,1.18,0
2025-02-28 10:36:38,0.0793,0,1.18,0
2025-02-28 10:36:39,0.0793,0,1.18,0
2025-02-28 10:36:40,0.0793,0,1.18,0
2025-02-28 10:36:41,0.0793,0,1.18,0
2025-02-28 10:36:42,0.0793,0,1.18,0
2025-02-28 10:36:43,0.0793,0,1.18,0
2025-02-28 10:36:44,0.0793,0,1.18,0
2025-02-28 10:36:45,0.0793,0,1.18,0
2025-02-28 10:36:46,0.0793,0,1.18,0
2025-02-28 10:36:47,0.0793,0,1.18,0
2025-02-28 10:36:48,0.0793,0,1.18,0
2025-02-28 10:36:49,0.0793,0,1.18,0
2025-02-28 10:36:50,0.0793,0,1.18,0
2025-02-28 10:36:51,0.0793,0,1.18,0
2025-02-28 10:36:52,0.0793,0,1.18,0
2025-02-28 10:36:53,0.0793,0,1.18,0
2025-02-28 10:36:54,0.0793,0,1.18,0
2025-02-28 10:36:55,0.0793,0,1.18,0
2025-02-28 10:36:56,0.0793,0,1.18,0
2025-02-28 10:36:57,0.0793,0,1.18,0
2025-02-28 10:36:58,0.0793,0,1.18,0
2025-02-28 10:36:59,0.0793,0,1.18,0
2025-02-28 10:37:00,0.0793,0,1.18,0
2025-02-28 10:37:01,0.0793,0,1.18,0
2025-02-28 10:37:02,0.0793,0,1.18,0
2025-02-28 10:37:03,0.0793,0,1.18,0
2025-02-28 10:37:04,0.0793,0,1.18,0
2025-02-28 10:37:05,0.0793,0,1.18,0
2025-02-28 10:37:06,0.0911,0,1.23,0
2025-02-28 10:37:07,0.0911,0,1.23,0
2025-02-28 10:37:08,0.0911,0,1.23,0
2025-02-28 10:37:09,0.0911,0,1.23,0
2025-02-28 10:37:10,0.0911,0,1.23,0
2025-02-28 10:37:11,0.0911,0,1.23,0
2025-02-28 10:37:12,0.0911,0,1.23,0
2025-02-28 10:37:13,0.0911,0,1.23,0
2025-02-28 10:37:14,0.0911,0,1.23,0
2025-02-28 10:37:15,0.0911,0,1.23,0
2025-02-28 10:37:16,0.0911,0,1.23,0
2025-02-28 10:37:17,0.0911,0,1.23,0
2025-02-28 10:37:18,0.0911,0,1.23,0
2025-02-28 10:37:19,0.0911,0,1.23,0
2025-02-28 10:37:20,0.0911,0,1.23,0
2025-02-28 10:37:21,0.0911,0,1.23,0
2025-02-28 10:37:22,0.0911,0,1.23,0
2025-02-28 10:37:23,0.0911,0,1.23,0
2025-02-28 10:37:24,0.0911,0,1.23,0
2025-02-28 10:37:25,0.0911,0,1.23,0
2025-02-28 10:37:26,0.0911,0,1.23,0
2025-02-28 10:37:27,0.0911,0,1.23,0
2025-02-28 10:37:28,0.0911,0,1.23,0
2025-02-28 10:37:29,0.0911,0,1.23,0
2025-02-28 10:37:30,0.0911,0,1.23,0
2025-02-28 10:37:31,0.0911,0,1.23,0
2025-02-28 10:37:32,0.0911,0,1.23,0
2025-02-28 10:37:33,0.0911,0,1.23,0
2025-02-28 10:37:34,0.0911,0,1.23,0
2025-02-28 10:37:35,0.0911,0,1.23,0
2025-02-28 10:37:36,0.0837,0,1.18,0
2025-02-28 10:37:37,0.0837,0,1.18,0
2025-02-28 10:37:38,0.0837,0,1.18,0
2025-02-28 10:37:39,0.0837,0,1.18,0
2025-02-28 10:37:40,0.0837,0,1.18,0
2025-02-28 10:37:41,0.0837,0,1.18,0
2025-02-28 10:37:42,0.0837,0,1.18,0
2025-02-28 10:37:43,0.0837,0,1.18,0
2025-02-28 10:37:44,0.0837,0,1.18,0
2025-02-28 10:37:45,0.0837,0,1.18,0
2025-02-28 10:37:46,0.0837,0,1.18,0
2025-02-28 10:37:47,0.0837,0,1.18,0
2025-02-28 10:37:48,0.0837,0,1.18,0
2025-02-28 10:37:49,0.0837,0,1.18,0
2025-02-28 10:37:50,0.0837,0,1.18,0
2025-02-28 10:37:51,0.0837,0,1.18,0
2025-02-28 10:37:52,0.0837,0,1.18,0
2025-02-28 10:37:53,0.0837,0,1.18,0
2025-02-28 10:37:54,0.0837,0,1.18,0
2025-02-28 10:37:55,0.0837,0,1.18,0
2025-02-28 10:37:56,0.0837,0,1.18,0
2025-02-28 10:37:57,0.0837,0,1.18,0
2025-02-28 10:37:58,0.0837,0,1.18,0
2025-02-28 10:37:59,0.0837,0,1.18,0
2025-02-28 10:38:00,0.0837,0,1.18,0
2025-02-28 10:38:01,0.0837,0,1.18,0
2025-02-28 10:38:02,0.0837,0,1.18,0
2025-02-28 10:38:03,0.0837,0,1.18,0
2025-02-28 10:38:04,0.0837,0,1.18,0
2025-02-28 10:38:05,0.0837,0,1.18,0
2025-02-28 10:38:06,0.0911,0,1.27,0
2025-02-28 10:38:07,0.0911,0,1.27,0
2025-02-28 10:38:08,0.0911,0,1.27,0
2025-02-28 10:38:09,0.0911,0,1.27,0
2025-02-28 10:38:10,0.0911,0,1.27,0
2025-02-28 10:38:11,0.0911,0,1.27,0
2025-02-28 10:38:12,0.0911,0,1.27,0
2025-02-28 10:38:13,0.0911,0,1.27,0
2025-02-28 10:38:14,0.0911,0,1.27,0
2025-02-28 10:38:15,0.0911,0,1.27,0
2025-02-28 10:38:16,0.0911,0,1.27,0
2025-02-28 10:38:17,0.0911,0,1.27,0
2025-02-28 10:38:18,0.0911,0,1.27,0
2025-02-28 10:38:19,0.0911,0,1.27,0
2025-02-28 10:38:20,0.0911,0,1.27,0
2025-02-28 10:38:21,0.0911,0,1.27,0
2025-02-28 10:38:22,0.0911,0,1.27,0
2025-02-28 10:38:23,0.0911,0,1.27,0
