Time,TOTAL
2025-05-13 07:12:39,3.0017000000000014
2025-05-13 07:12:40,3.0017000000000014
2025-05-13 07:12:41,3.0017000000000014
2025-05-13 07:12:42,3.0017000000000014
2025-05-13 07:12:43,3.0017000000000014
2025-05-13 07:12:44,3.0017000000000014
2025-05-13 07:12:45,3.0017000000000014
2025-05-13 07:12:46,3.0017000000000014
2025-05-13 07:12:47,3.0017000000000014
2025-05-13 07:12:48,3.0017000000000014
2025-05-13 07:12:49,2.009900000000001
2025-05-13 07:12:50,2.009900000000001
2025-05-13 07:12:51,2.009900000000001
2025-05-13 07:12:52,2.009900000000001
2025-05-13 07:12:53,2.009900000000001
2025-05-13 07:12:54,2.009900000000001
2025-05-13 07:12:55,2.009900000000001
2025-05-13 07:12:56,2.009900000000001
2025-05-13 07:12:57,2.009900000000001
