"Time","PKG","DRAM","OTHER","GPU"
2025-03-03 14:04:30,0.906,0,5.18,0
2025-03-03 14:04:32,0.906,0,5.18,0
2025-03-03 14:04:34,0.906,0,5.18,0
2025-03-03 14:04:36,0.909,0,5.03,0
2025-03-03 14:04:38,0.909,0,5.03,0
2025-03-03 14:04:40,0.909,0,5.03,0
2025-03-03 14:04:42,0.909,0,5.03,0
2025-03-03 14:04:44,0.909,0,5.03,0
2025-03-03 14:04:46,0.909,0,5.03,0
2025-03-03 14:04:48,0.909,0,5.03,0
2025-03-03 14:04:50,0.909,0,5.03,0
2025-03-03 14:04:52,0.909,0,5.03,0
2025-03-03 14:04:54,0.909,0,5.03,0
2025-03-03 14:04:56,0.909,0,5.03,0
2025-03-03 14:04:58,0.909,0,5.03,0
2025-03-03 14:05:00,0.909,0,5.03,0
2025-03-03 14:05:02,0.909,0,5.03,0
2025-03-03 14:05:04,0.909,0,5.03,0
2025-03-03 14:05:06,0.931,0,5.19,0
2025-03-03 14:05:08,0.931,0,5.19,0
2025-03-03 14:05:10,0.931,0,5.19,0
2025-03-03 14:05:12,0.931,0,5.19,0
2025-03-03 14:05:14,0.931,0,5.19,0
2025-03-03 14:05:16,0.931,0,5.19,0
2025-03-03 14:05:18,0.931,0,5.19,0
2025-03-03 14:05:20,0.931,0,5.19,0
2025-03-03 14:05:22,0.931,0,5.19,0
2025-03-03 14:05:24,0.931,0,5.19,0
2025-03-03 14:05:26,0.931,0,5.19,0
2025-03-03 14:05:28,0.931,0,5.19,0
2025-03-03 14:05:30,0.931,0,5.19,0
2025-03-03 14:05:32,0.931,0,5.19,0
2025-03-03 14:05:34,0.931,0,5.19,0
2025-03-03 14:05:36,0.905,0,5.05,0
2025-03-03 14:05:38,0.905,0,5.05,0
2025-03-03 14:05:40,0.905,0,5.05,0
2025-03-03 14:05:42,0.905,0,5.05,0
2025-03-03 14:05:44,0.905,0,5.05,0
2025-03-03 14:05:46,0.905,0,5.05,0
2025-03-03 14:05:48,0.905,0,5.05,0
2025-03-03 14:05:50,0.905,0,5.05,0
2025-03-03 14:05:52,0.905,0,5.05,0
2025-03-03 14:05:54,0.905,0,5.05,0
2025-03-03 14:05:56,0.905,0,5.05,0
2025-03-03 14:05:58,0.905,0,5.05,0
2025-03-03 14:06:00,0.905,0,5.05,0
2025-03-03 14:06:02,0.905,0,5.05,0
2025-03-03 14:06:04,0.905,0,5.05,0
2025-03-03 14:06:06,0.903,0,5.25,0
2025-03-03 14:06:08,0.903,0,5.25,0
2025-03-03 14:06:10,0.903,0,5.25,0
2025-03-03 14:06:12,0.903,0,5.25,0
2025-03-03 14:06:14,0.903,0,5.25,0
2025-03-03 14:06:16,0.903,0,5.25,0
2025-03-03 14:06:18,0.903,0,5.25,0
2025-03-03 14:06:20,0.903,0,5.25,0
2025-03-03 14:06:22,0.903,0,5.25,0
2025-03-03 14:06:24,0.903,0,5.25,0
2025-03-03 14:06:26,0.903,0,5.25,0
2025-03-03 14:06:28,0.903,0,5.25,0
2025-03-03 14:06:30,0.903,0,5.25,0
2025-03-03 14:06:32,0.903,0,5.25,0
2025-03-03 14:06:34,0.903,0,5.25,0
2025-03-03 14:06:36,0.925,0,5.14,0
2025-03-03 14:06:38,0.925,0,5.14,0
2025-03-03 14:06:40,0.925,0,5.14,0
2025-03-03 14:06:42,0.925,0,5.14,0
2025-03-03 14:06:44,0.925,0,5.14,0
2025-03-03 14:06:46,0.925,0,5.14,0
2025-03-03 14:06:48,0.925,0,5.14,0
2025-03-03 14:06:50,0.925,0,5.14,0
2025-03-03 14:06:52,0.925,0,5.14,0
2025-03-03 14:06:54,0.925,0,5.14,0
2025-03-03 14:06:56,0.925,0,5.14,0
2025-03-03 14:06:58,0.925,0,5.14,0
2025-03-03 14:07:00,0.925,0,5.14,0
2025-03-03 14:07:02,0.925,0,5.14,0
2025-03-03 14:07:04,0.925,0,5.14,0
2025-03-03 14:07:06,0.912,0,5.14,0
2025-03-03 14:07:08,0.912,0,5.14,0
2025-03-03 14:07:10,0.912,0,5.14,0
2025-03-03 14:07:12,0.912,0,5.14,0
2025-03-03 14:07:14,0.912,0,5.14,0
2025-03-03 14:07:16,0.912,0,5.14,0
2025-03-03 14:07:18,0.912,0,5.14,0
2025-03-03 14:07:20,0.912,0,5.14,0
2025-03-03 14:07:22,0.912,0,5.14,0
2025-03-03 14:07:24,0.912,0,5.14,0
2025-03-03 14:07:26,0.912,0,5.14,0
2025-03-03 14:07:28,0.912,0,5.14,0
2025-03-03 14:07:30,0.912,0,5.14,0
2025-03-03 14:07:32,0.912,0,5.14,0
2025-03-03 14:07:34,0.912,0,5.14,0
2025-03-03 14:07:36,0.976,0,4.99,0
2025-03-03 14:07:38,0.976,0,4.99,0
2025-03-03 14:07:40,0.976,0,4.99,0
2025-03-03 14:07:42,0.976,0,4.99,0
2025-03-03 14:07:44,0.976,0,4.99,0
2025-03-03 14:07:46,0.976,0,4.99,0
2025-03-03 14:07:48,0.976,0,4.99,0
2025-03-03 14:07:50,0.976,0,4.99,0
2025-03-03 14:07:52,0.976,0,4.99,0
2025-03-03 14:07:54,0.976,0,4.99,0
2025-03-03 14:07:56,0.976,0,4.99,0
2025-03-03 14:07:58,0.976,0,4.99,0
2025-03-03 14:08:00,0.976,0,4.99,0
2025-03-03 14:08:02,0.976,0,4.99,0
2025-03-03 14:08:04,0.976,0,4.99,0
2025-03-03 14:08:06,0.885,0,5.14,0
2025-03-03 14:08:08,0.885,0,5.14,0
2025-03-03 14:08:10,0.885,0,5.14,0
2025-03-03 14:08:12,0.885,0,5.14,0
2025-03-03 14:08:14,0.885,0,5.14,0
2025-03-03 14:08:16,0.885,0,5.14,0
2025-03-03 14:08:18,0.885,0,5.14,0
2025-03-03 14:08:20,0.885,0,5.14,0
2025-03-03 14:08:22,0.885,0,5.14,0
2025-03-03 14:08:24,0.885,0,5.14,0
2025-03-03 14:08:26,0.885,0,5.14,0
2025-03-03 14:08:28,0.885,0,5.14,0
2025-03-03 14:08:30,0.885,0,5.14,0
2025-03-03 14:08:32,0.885,0,5.14,0
2025-03-03 14:08:34,0.885,0,5.14,0
2025-03-03 14:08:36,0.927,0,5.09,0
2025-03-03 14:08:38,0.927,0,5.09,0
2025-03-03 14:08:40,0.927,0,5.09,0
2025-03-03 14:08:42,0.927,0,5.09,0
2025-03-03 14:08:44,0.927,0,5.09,0
2025-03-03 14:08:46,0.927,0,5.09,0
2025-03-03 14:08:48,0.927,0,5.09,0
2025-03-03 14:08:50,0.927,0,5.09,0
2025-03-03 14:08:52,0.927,0,5.09,0
2025-03-03 14:08:54,0.927,0,5.09,0
2025-03-03 14:08:56,0.927,0,5.09,0
2025-03-03 14:08:58,0.927,0,5.09,0
2025-03-03 14:09:00,0.927,0,5.09,0
2025-03-03 14:09:02,0.927,0,5.09,0
2025-03-03 14:09:04,0.927,0,5.09,0
2025-03-03 14:09:06,0.907,0,5.07,0
2025-03-03 14:09:08,0.907,0,5.07,0
2025-03-03 14:09:10,0.907,0,5.07,0
2025-03-03 14:09:12,0.907,0,5.07,0
2025-03-03 14:09:14,0.907,0,5.07,0
2025-03-03 14:09:16,0.907,0,5.07,0
2025-03-03 14:09:18,0.907,0,5.07,0
2025-03-03 14:09:20,0.907,0,5.07,0
2025-03-03 14:09:22,0.907,0,5.07,0
2025-03-03 14:09:24,0.907,0,5.07,0
2025-03-03 14:09:26,0.907,0,5.07,0
2025-03-03 14:09:28,0.907,0,5.07,0
2025-03-03 14:09:30,0.907,0,5.07,0
2025-03-03 14:09:32,0.907,0,5.07,0
2025-03-03 14:09:34,0.907,0,5.07,0
2025-03-03 14:09:36,0.922,0,5.08,0
2025-03-03 14:09:38,0.922,0,5.08,0
2025-03-03 14:09:40,0.922,0,5.08,0
2025-03-03 14:09:42,0.922,0,5.08,0
2025-03-03 14:09:44,0.922,0,5.08,0
2025-03-03 14:09:46,0.922,0,5.08,0
2025-03-03 14:09:48,0.922,0,5.08,0
2025-03-03 14:09:50,0.922,0,5.08,0
2025-03-03 14:09:52,0.922,0,5.08,0
2025-03-03 14:09:54,0.922,0,5.08,0
2025-03-03 14:09:56,0.922,0,5.08,0
2025-03-03 14:09:58,0.922,0,5.08,0
2025-03-03 14:10:00,0.922,0,5.08,0
2025-03-03 14:10:02,0.922,0,5.08,0
2025-03-03 14:10:04,0.922,0,5.08,0
2025-03-03 14:10:06,0.913,0,5.07,0
2025-03-03 14:10:08,0.913,0,5.07,0
2025-03-03 14:10:10,0.913,0,5.07,0
2025-03-03 14:10:12,0.913,0,5.07,0
2025-03-03 14:10:14,0.913,0,5.07,0
2025-03-03 14:10:16,0.913,0,5.07,0
2025-03-03 14:10:18,0.913,0,5.07,0
2025-03-03 14:10:20,0.913,0,5.07,0
2025-03-03 14:10:22,0.913,0,5.07,0
2025-03-03 14:10:24,0.913,0,5.07,0
2025-03-03 14:10:26,0.913,0,5.07,0
2025-03-03 14:10:28,0.913,0,5.07,0
2025-03-03 14:10:30,0.913,0,5.07,0
2025-03-03 14:10:32,0.913,0,5.07,0
2025-03-03 14:10:34,0.913,0,5.07,0
2025-03-03 14:10:36,0.910,0,5.09,0
2025-03-03 14:10:38,0.910,0,5.09,0
2025-03-03 14:10:40,0.910,0,5.09,0
2025-03-03 14:10:42,0.910,0,5.09,0
2025-03-03 14:10:44,0.910,0,5.09,0
2025-03-03 14:10:46,0.910,0,5.09,0
2025-03-03 14:10:48,0.910,0,5.09,0
2025-03-03 14:10:50,0.910,0,5.09,0
2025-03-03 14:10:52,0.910,0,5.09,0
2025-03-03 14:10:54,0.910,0,5.09,0
2025-03-03 14:10:56,0.910,0,5.09,0
2025-03-03 14:10:58,0.910,0,5.09,0
2025-03-03 14:11:00,0.910,0,5.09,0
2025-03-03 14:11:02,0.910,0,5.09,0
2025-03-03 14:11:04,0.910,0,5.09,0
2025-03-03 14:11:06,0.922,0,5.06,0
2025-03-03 14:11:08,0.922,0,5.06,0
2025-03-03 14:11:10,0.922,0,5.06,0
2025-03-03 14:11:12,0.922,0,5.06,0
2025-03-03 14:11:14,0.922,0,5.06,0
2025-03-03 14:11:16,0.922,0,5.06,0
2025-03-03 14:11:18,0.922,0,5.06,0
2025-03-03 14:11:20,0.922,0,5.06,0
2025-03-03 14:11:22,0.922,0,5.06,0
2025-03-03 14:11:24,0.922,0,5.06,0
2025-03-03 14:11:26,0.922,0,5.06,0
2025-03-03 14:11:28,0.922,0,5.06,0
2025-03-03 14:11:30,0.922,0,5.06,0
2025-03-03 14:11:32,0.922,0,5.06,0
2025-03-03 14:11:34,0.922,0,5.06,0
2025-03-03 14:11:36,0.900,0,5.11,0
2025-03-03 14:11:38,0.900,0,5.11,0
2025-03-03 14:11:40,0.900,0,5.11,0
2025-03-03 14:11:42,0.900,0,5.11,0
2025-03-03 14:11:44,0.900,0,5.11,0
2025-03-03 14:11:46,0.900,0,5.11,0
2025-03-03 14:11:48,0.900,0,5.11,0
2025-03-03 14:11:50,0.900,0,5.11,0
2025-03-03 14:11:52,0.900,0,5.11,0
2025-03-03 14:11:54,0.900,0,5.11,0
2025-03-03 14:11:56,0.900,0,5.11,0
2025-03-03 14:11:58,0.900,0,5.11,0
2025-03-03 14:12:00,0.900,0,5.11,0
2025-03-03 14:12:02,0.900,0,5.11,0
2025-03-03 14:12:04,0.900,0,5.11,0
2025-03-03 14:12:06,0.907,0,5.08,0
2025-03-03 14:12:08,0.907,0,5.08,0
2025-03-03 14:12:10,0.907,0,5.08,0
2025-03-03 14:12:12,0.907,0,5.08,0
2025-03-03 14:12:14,0.907,0,5.08,0
2025-03-03 14:12:16,0.907,0,5.08,0
2025-03-03 14:12:18,0.907,0,5.08,0
2025-03-03 14:12:20,0.907,0,5.08,0
2025-03-03 14:12:22,0.907,0,5.08,0
2025-03-03 14:12:24,0.907,0,5.08,0
2025-03-03 14:12:26,0.907,0,5.08,0
2025-03-03 14:12:28,0.907,0,5.08,0
2025-03-03 14:12:30,0.907,0,5.08,0
2025-03-03 14:12:32,0.907,0,5.08,0
2025-03-03 14:12:34,0.907,0,5.08,0
2025-03-03 14:12:36,0.882,0,5.08,0
2025-03-03 14:12:38,0.882,0,5.08,0
2025-03-03 14:12:40,0.882,0,5.08,0
2025-03-03 14:12:42,0.882,0,5.08,0
2025-03-03 14:12:44,0.882,0,5.08,0
2025-03-03 14:12:46,0.882,0,5.08,0
2025-03-03 14:12:48,0.882,0,5.08,0
2025-03-03 14:12:50,0.882,0,5.08,0
2025-03-03 14:12:52,0.882,0,5.08,0
2025-03-03 14:12:54,0.882,0,5.08,0
2025-03-03 14:12:56,0.882,0,5.08,0
2025-03-03 14:12:58,0.882,0,5.08,0
2025-03-03 14:13:00,0.882,0,5.08,0
2025-03-03 14:13:02,0.882,0,5.08,0
2025-03-03 14:13:04,0.882,0,5.08,0
2025-03-03 14:13:06,0.918,0,5.05,0
2025-03-03 14:13:08,0.918,0,5.05,0
2025-03-03 14:13:10,0.918,0,5.05,0
2025-03-03 14:13:12,0.918,0,5.05,0
2025-03-03 14:13:14,0.918,0,5.05,0
2025-03-03 14:13:16,0.918,0,5.05,0
2025-03-03 14:13:18,0.918,0,5.05,0
2025-03-03 14:13:20,0.918,0,5.05,0
2025-03-03 14:13:22,0.918,0,5.05,0
2025-03-03 14:13:24,0.918,0,5.05,0
2025-03-03 14:13:26,0.918,0,5.05,0
2025-03-03 14:13:28,0.918,0,5.05,0
2025-03-03 14:13:30,0.918,0,5.05,0
2025-03-03 14:13:32,0.918,0,5.05,0
2025-03-03 14:13:34,0.918,0,5.05,0
2025-03-03 14:13:36,0.898,0,5.12,0
2025-03-03 14:13:38,0.898,0,5.12,0
2025-03-03 14:13:40,0.898,0,5.12,0
2025-03-03 14:13:42,0.898,0,5.12,0
2025-03-03 14:13:44,0.898,0,5.12,0
2025-03-03 14:13:46,0.898,0,5.12,0
2025-03-03 14:13:48,0.898,0,5.12,0
2025-03-03 14:13:50,0.898,0,5.12,0
2025-03-03 14:13:52,0.898,0,5.12,0
2025-03-03 14:13:54,0.898,0,5.12,0
2025-03-03 14:13:56,0.898,0,5.12,0
2025-03-03 14:13:58,0.898,0,5.12,0
2025-03-03 14:14:00,0.898,0,5.12,0
2025-03-03 14:14:02,0.898,0,5.12,0
2025-03-03 14:14:04,0.898,0,5.12,0
2025-03-03 14:14:06,0.916,0,4.98,0
2025-03-03 14:14:08,0.916,0,4.98,0
2025-03-03 14:14:10,0.916,0,4.98,0
2025-03-03 14:14:12,0.916,0,4.98,0
2025-03-03 14:14:14,0.916,0,4.98,0
2025-03-03 14:14:16,0.916,0,4.98,0
2025-03-03 14:14:18,0.916,0,4.98,0
2025-03-03 14:14:20,0.916,0,4.98,0
2025-03-03 14:14:22,0.916,0,4.98,0
