"Time","control-project-56b89bcb95-qvbb6 / app-namespace / PKG","control-project-56b89bcb95-qvbb6 / app-namespace / DRAM","control-project-56b89bcb95-qvbb6 / app-namespace / OTHER","control-project-56b89bcb95-qvbb6 / app-namespace / GPU"
2025-02-26 15:04:02,0.299,0,2.10,0
2025-02-26 15:04:03,0.299,0,2.10,0
2025-02-26 15:04:04,0.299,0,2.10,0
2025-02-26 15:04:05,0.299,0,2.10,0
2025-02-26 15:04:06,0.299,0,2.10,0
2025-02-26 15:04:07,0.299,0,2.10,0
2025-02-26 15:04:08,0.299,0,2.10,0
2025-02-26 15:04:09,0.299,0,2.10,0
2025-02-26 15:04:10,0.299,0,2.10,0
2025-02-26 15:04:11,0.299,0,2.10,0
2025-02-26 15:04:12,0.299,0,2.10,0
2025-02-26 15:04:13,0.299,0,2.10,0
2025-02-26 15:04:14,0.299,0,2.10,0
2025-02-26 15:04:15,0.299,0,2.10,0
2025-02-26 15:04:16,0.299,0,2.10,0
2025-02-26 15:04:17,0.299,0,2.10,0
2025-02-26 15:04:18,0.299,0,2.10,0
2025-02-26 15:04:19,0.299,0,2.10,0
2025-02-26 15:04:20,0.299,0,2.10,0
2025-02-26 15:04:21,0.262,0,1.37,0
2025-02-26 15:04:22,0.262,0,1.37,0
2025-02-26 15:04:23,0.262,0,1.37,0
2025-02-26 15:04:24,0.262,0,1.37,0
2025-02-26 15:04:25,0.262,0,1.37,0
2025-02-26 15:04:26,0.262,0,1.37,0
2025-02-26 15:04:27,0.262,0,1.37,0
2025-02-26 15:04:28,0.262,0,1.37,0
2025-02-26 15:04:29,0.262,0,1.37,0
2025-02-26 15:04:30,0.262,0,1.37,0
2025-02-26 15:04:31,0.262,0,1.37,0
2025-02-26 15:04:32,0.262,0,1.37,0
2025-02-26 15:04:33,0.262,0,1.37,0
2025-02-26 15:04:34,0.262,0,1.37,0
2025-02-26 15:04:35,0.262,0,1.37,0
2025-02-26 15:04:36,0.262,0,1.37,0
2025-02-26 15:04:37,0.262,0,1.37,0
2025-02-26 15:04:38,0.262,0,1.37,0
2025-02-26 15:04:39,0.262,0,1.37,0
2025-02-26 15:04:40,0.262,0,1.37,0
2025-02-26 15:04:41,0.262,0,1.37,0
2025-02-26 15:04:42,0.262,0,1.37,0
2025-02-26 15:04:43,0.262,0,1.37,0
2025-02-26 15:04:44,0.262,0,1.37,0
2025-02-26 15:04:45,0.262,0,1.37,0
2025-02-26 15:04:46,0.262,0,1.37,0
2025-02-26 15:04:47,0.262,0,1.37,0
2025-02-26 15:04:48,0.262,0,1.37,0
2025-02-26 15:04:49,0.262,0,1.37,0
2025-02-26 15:04:50,0.262,0,1.37,0
2025-02-26 15:04:51,0.259,0,0.948,0
2025-02-26 15:04:52,0.259,0,0.948,0
2025-02-26 15:04:53,0.259,0,0.948,0
2025-02-26 15:04:54,0.259,0,0.948,0
2025-02-26 15:04:55,0.259,0,0.948,0
2025-02-26 15:04:56,0.259,0,0.948,0
2025-02-26 15:04:57,0.259,0,0.948,0
2025-02-26 15:04:58,0.259,0,0.948,0
2025-02-26 15:04:59,0.259,0,0.948,0
2025-02-26 15:05:00,0.259,0,0.948,0
2025-02-26 15:05:01,0.259,0,0.948,0
2025-02-26 15:05:02,0.259,0,0.948,0
2025-02-26 15:05:03,0.259,0,0.948,0
2025-02-26 15:05:04,0.259,0,0.948,0
2025-02-26 15:05:05,0.259,0,0.948,0
2025-02-26 15:05:06,0.259,0,0.948,0
2025-02-26 15:05:07,0.259,0,0.948,0
2025-02-26 15:05:08,0.259,0,0.948,0
2025-02-26 15:05:09,0.259,0,0.948,0
2025-02-26 15:05:10,0.259,0,0.948,0
2025-02-26 15:05:11,0.259,0,0.948,0
2025-02-26 15:05:12,0.259,0,0.948,0
2025-02-26 15:05:13,0.259,0,0.948,0
2025-02-26 15:05:14,0.259,0,0.948,0
2025-02-26 15:05:15,0.259,0,0.948,0
2025-02-26 15:05:16,0.259,0,0.948,0
2025-02-26 15:05:17,0.259,0,0.948,0
2025-02-26 15:05:18,0.259,0,0.948,0
2025-02-26 15:05:19,0.259,0,0.948,0
2025-02-26 15:05:20,0.259,0,0.948,0
2025-02-26 15:05:21,0.265,0,0.842,0
2025-02-26 15:05:22,0.265,0,0.842,0
2025-02-26 15:05:23,0.265,0,0.842,0
2025-02-26 15:05:24,0.265,0,0.842,0
