"Time","control-project-56b89bcb95-qvbb6 / app-namespace / PKG","control-project-56b89bcb95-qvbb6 / app-namespace / DRAM","control-project-56b89bcb95-qvbb6 / app-namespace / OTHER","control-project-56b89bcb95-qvbb6 / app-namespace / GPU"
2025-02-26 15:25:37,0.0452,0,0.855,0
2025-02-26 15:25:38,0.0452,0,0.855,0
2025-02-26 15:25:39,0.0452,0,0.855,0
2025-02-26 15:25:40,0.0452,0,0.855,0
2025-02-26 15:25:41,0.0452,0,0.855,0
2025-02-26 15:25:42,0.0452,0,0.855,0
2025-02-26 15:25:43,0.0452,0,0.855,0
2025-02-26 15:25:44,0.0452,0,0.855,0
2025-02-26 15:25:45,0.0452,0,0.855,0
2025-02-26 15:25:46,0.0452,0,0.855,0
2025-02-26 15:25:47,0.0452,0,0.855,0
2025-02-26 15:25:48,0.0452,0,0.855,0
2025-02-26 15:25:49,0.0452,0,0.855,0
2025-02-26 15:25:50,0.0452,0,0.855,0
2025-02-26 15:25:51,0.102,0,0.928,0
2025-02-26 15:25:52,0.102,0,0.928,0
2025-02-26 15:25:53,0.102,0,0.928,0
2025-02-26 15:25:54,0.102,0,0.928,0
2025-02-26 15:25:55,0.102,0,0.928,0
2025-02-26 15:25:56,0.102,0,0.928,0
2025-02-26 15:25:57,0.102,0,0.928,0
2025-02-26 15:25:58,0.102,0,0.928,0
2025-02-26 15:25:59,0.102,0,0.928,0
2025-02-26 15:26:00,0.102,0,0.928,0
2025-02-26 15:26:01,0.102,0,0.928,0
2025-02-26 15:26:02,0.102,0,0.928,0
2025-02-26 15:26:03,0.102,0,0.928,0
2025-02-26 15:26:04,0.102,0,0.928,0
2025-02-26 15:26:05,0.102,0,0.928,0
2025-02-26 15:26:06,0.102,0,0.928,0
2025-02-26 15:26:07,0.102,0,0.928,0
2025-02-26 15:26:08,0.102,0,0.928,0
2025-02-26 15:26:09,0.102,0,0.928,0
2025-02-26 15:26:10,0.102,0,0.928,0
2025-02-26 15:26:11,0.102,0,0.928,0
2025-02-26 15:26:12,0.102,0,0.928,0
2025-02-26 15:26:13,0.102,0,0.928,0
