Time,TOTAL
2025-05-13 08:31:05,2.9817999999999985
2025-05-13 08:31:06,2.9817999999999985
2025-05-13 08:31:07,2.9817999999999985
2025-05-13 08:31:08,2.9817999999999985
2025-05-13 08:31:09,2.9817999999999985
2025-05-13 08:31:10,2.9817999999999985
2025-05-13 08:31:11,2.9817999999999985
2025-05-13 08:31:12,2.9817999999999985
2025-05-13 08:31:13,2.9817999999999985
2025-05-13 08:31:14,2.9817999999999985
2025-05-13 08:31:15,2.9817999999999985
2025-05-13 08:31:16,2.9817999999999985
2025-05-13 08:31:17,2.9817999999999985
2025-05-13 08:31:18,2.9817999999999985
2025-05-13 08:31:19,2.5859999999999976
2025-05-13 08:31:20,2.5859999999999976
2025-05-13 08:31:21,2.5859999999999976
2025-05-13 08:31:22,2.5859999999999976
