"Time","experimental-project-8457b5d6f6-bwdmb / app-namespace / PKG","experimental-project-8457b5d6f6-bwdmb / app-namespace / DRAM","experimental-project-8457b5d6f6-bwdmb / app-namespace / OTHER","experimental-project-8457b5d6f6-bwdmb / app-namespace / GPU"
2025-03-02 20:56:11,0.974,0,4.52,0
2025-03-02 20:56:12,0.974,0,4.52,0
2025-03-02 20:56:13,0.974,0,4.52,0
2025-03-02 20:56:14,0.974,0,4.52,0
2025-03-02 20:56:15,0.974,0,4.52,0
2025-03-02 20:56:16,0.974,0,4.52,0
2025-03-02 20:56:17,0.974,0,4.52,0
2025-03-02 20:56:18,0.974,0,4.52,0
2025-03-02 20:56:19,0.974,0,4.52,0
2025-03-02 20:56:20,0.974,0,4.52,0
2025-03-02 20:56:21,0.974,0,4.52,0
2025-03-02 20:56:22,0.974,0,4.52,0
